section_name,thickness,B_bottom,H,B_top,D,bottom_flange_angle,web_angle,top_flange_angle,lip_angle,r1,r2,r3,punchout_height,punchout_width
Model C 1.83 16g,0.06,1.06,1.83,2.03,0.38,0,90,0,-45,0.18,0.18,0.18,1.625,2.5
Model C 1.83 14g,0.071,1.06,1.83,2.03,0.38,0,90,0,-45,0.213,0.213,0.213,1.625,2.5
Model C 2.83 16g,0.06,1.06,2.83,2.25,0.25,0,90,0,-45,0.18,0.18,0.18,1.625,2.5
Model C 2.83 14g,0.071,1.06,2.83,2.25,0.25,0,90,0,-45,0.213,0.213,0.213,1.625,2.5
Model C 4.5 16g,0.06,1.06,4.5,2.25,0.25,0,90,0,-45,0.18,0.18,0.18,1.625,2.5
Model C 4.5 14g,0.071,1.06,4.5,2.25,0.25,0,90,0,-45,0.213,0.213,0.213,1.625,2.5
Model C 5.2 16g,0.06,1.06,5.2,2.25,0.25,0,90,0,-45,0.18,0.18,0.18,1.625,2.5
Model C 5.2 14g,0.071,1.06,5.2,2.25,0.25,0,90,0,-45,0.213,0.213,0.213,1.625,2.5
Model D 4.5 16g,0.06,1.5,4.5,2.025,0.25,0,90,0,-45,0.18,0.18,0.18,3.875,3
Custom 2.5 16g,0.06,1.25,2.5,2,0.25,0,90,0,-45,0.18,0.18,0.18,2,2.5
